pbcoreIndentifier AND instantiationIdentifier,pbcoreIdentifier@source AND instantiationIdentifier@source,pbcoreIndentifier 2 AND instantiationIdentifier 2,pbcoreIdentifier@source 2 AND instantiationIdentifier@source 2,pbcoreTitle,pbcoreTitle@titleType,pbcoreTitle 2,pbcoreTitle@titleType2,pbcoreSubject,pbcoreSubject@subjectType,pbcoreGenre,pbcoreGenresource,pbcoreGenre,pbcoreCreator,pbcoreCreatorRole,pbcoreCreator 3,pbcoreCreatorRole 2,pbcoreCreator 2,pbcoreCreatorRole 3,instantiationMediaType,formatFrameRate,unitsOfMeasure,instantiationDimensions,unitsOfMeasure dimensions,instantiationPhysical,instantiationIdentifier 3,instantiationIdentifier@source 3,dateIssued,instantiationDuration,Duration Approximate?,pbcoreDescription,pbcoreDescriptionType,pbcoreDescription,pbcoreDescriptionType,Notes/Annotations
ID,ID Source,,,Title,Title Type,Alternate Title,Alternate Title Source,Subject,Subject Type,Genre,,Genre 2,"Creator (Director, Author)",Creator Role,Creator 2,Creator 2 Role,Creator 3,Creator 3 Role,Media Type,,,,,Physical Format,,,Date ,Duration,,Description,,,,
0024,OFS Portal,,,"Röntgenstrahlen (Germany, 1937): Talking X-Ray Films”",,,,,,Documentary,,,Paul Robeson,Director,,,,,Moving Image,,,,,,,,1937,,,,,,,
0025,OFS Portal,,,Decasia,,,,,,Experimental Film,,Short Film,Bill Morrison,Director,,,,,Moving Image,,,,,,,,2002,,,,,,,
0026,OFS Portal,,,Selected Shorts by Alan Berliner,,,,,,Short Film,,,Alan Berliner,Director,,,,,Moving Image,,,,,,,,,,,,,,,
0027,OFS Portal,,,All Personal Sound Movies,,,,,,,,,Fred McCleod,Director,,,,,Moving Image,,,,,,,,1949-63,,,,,,,
0028,OFS Portal,,,All Golf Films,,,,,,,,,Fred McCleod,Director,,,,,Moving Image,,,,,,,,1973,,,,,,,
0029,OFS Portal,,,Luz Externa,,,,,,,,,José Agustín,Director,,,,,Moving Image,,,,,Super 8mm,,,1973,,,,,,,Presented with a restored soundtrack
0030,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0032,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0034,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0036,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0039,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0043,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0045,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0046,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0047,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0049,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0051,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0052,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0053,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0054,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0055,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0057,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0058,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0059,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0061,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0062,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0063,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0064,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0065,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0066,OFS Portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
